name,mass,radius,period,semi_major_axis,temperature,distance_light_year,host_star_mass,host_star_temperature
HD 33844 b [ru],1.96,,551.4,1.6,,329,1.78,4861
HD 33844 c [ru],1.75,,916,2.24,,329,1.78,4861
HD 233832 b,1.78,,2058,2.827,,192,0.71,4981
HD 218566 b,0.2,,225.7,0.69,,94.1,0.76,4730
HD 207897 b,0.0453,0.223,16.202159,0.1163,632.2,92.15,0.8,5070
HD 13908 b [fr],0.865,,19.382,0.154,,218.2,1.29,6255
HD 13908 c [fr],5.13,,931,2.03,,218.2,1.29,6255
SAND364 b,1.54,,121.71,,,2730,1.35,4284
HD 72659 b,3.85,,3658,4.75,,169.51,1.43,5932
HIP 67851 b,1.38,,88.9,0.46,,208.3,1.63,4890
HIP 67851 c,4.34,,1741,3.09,,208.3,1.63,4890
HIP 54373 b,0.02712,,7.76,0.063,,61.09,0.57,4021
HIP 54373 c,0.03914,,15.144,0.099,,61.09,0.57,4021
WASP-176 b,0.855,1.505,3.899052,0.0535,1721,1883,1.345,5941
HD 24064 b,9.4,,535.6,1.29,,862,1,4052.5
UScoCTIO 108 b,14,,,670,,470.63,0.06,2700
HD 102272 b,4.94,,127.58,0.51,,1142,1.45,4790
HD 5583 b,5.78,,139.35,0.53,,720,1.01,4830
TOI-216 b,0.059,0.714,17.1607,0.1293,628,583,0.77,5026
TOI-216 c,0.56,0.902,34.525528,0.2069,497,583,0.77,5026
KMT-2016-BLG-1836L b,2.2,,,3.5,,23157.1,0.49,
HD 98649 b,6.8,,4951,5.6,,139.5,1,5759
HD 10180 c,0.0416,,5.75969,0.06412,,127.21,1.06,5911
HD 10180 d,0.0378,,16.357,0.12859,,127.21,1.06,5911
HD 10180 e,0.0805,,49.748,0.2699,,127.21,1.06,5911
HD 10180 f,0.0722,,122.744,0.4929,,127.21,1.06,5911
HD 10180 g,0.0732,,604.67,1.427,,127.21,1.06,5911
HD 10180 h,0.2066,,2205,3.381,,127.21,1.06,5911
HD 152581 b,1.869,,686.5,1.66,,543.2,1.3,5027
HD 20868 b,1.25,,380.85001,0.95,,155.88,0.39,4802
HD 73267 b,3.097,,1245.36,2.187,,179.1,0.9,5387
HD 180053 b,2.194,1.203,213.72,0.843,,448.7,1.75,5131
HD 106906 b,11,,,650,,299.5,1.5,6516
HD 102843 b,0.3584,,3090.942,4.074,,205.05,0.95,5436
HD 118203 b,2.79,,6.1335,0.07,,301.74,1.84,5864
HD 3167 d,0.0217,,8.509,0.07757,,149,0.86,5261
HIP 97233 b,20,,1058.8,2.55,,347,1.93,5020
TOI-763 b,0.031,0.203,5.6057,0.06,1038,311,0.917,5444
TOI-763 c,0.029,0.235,12.2737,0.1011,800,311,0.917,5444
HD 92788 b,3.76,,325.803,0.97,,113.15,1.15,5744
HD 92788 c,3.67,,11611.2975,10.5,,113.1385,1.15,5744
Pr0211 b,1.88,,2.1461,0.03176,,610,0.94,5300
HD 139357 b,9.76,,1125.7,2.36,,366.77,1.35,4700
HD 285507 b,0.92,,6.0962,,,153,0.73,4503
Gliese 179 b,0.82,,2288,2.41,,40.31,0.36,3370
TOI-220 b,0.0434,0.271,10.695264,0.08911,805,290,0.825,5298
HIP 78530 b,23,,,740,2700,511.1,2.5,10500
TOI-421 b,0.051,0.461,16.06815,0.1182,696.6,244.3,0.852,5325
TOI-421 c,0.0222,0.243,5.19676,0.0557,1014.9,244.3,0.852,5325
HD 74156 b,1.8,,51.645,0.292,,210.7,1.24,6068
HD 74156 c,8.06,,2473,3.85,,210.7,1.24,6068
HD 70573 b,6.1,,851.8,1.76,,149.06,1,5737
